Skill,Title,Company,Experience,Salary,Location,JD URL,Full JD,Job ID,Required Skills
Python,Python Developer - Data Scientist,Tiger Analytics,4-7 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru",/job-listings-python-developer-data-scientist-tiger-analytics-hyderabad-chennai-bengaluru-4-to-7-years-290525024892,"MLOps and CI / CD Proficiency: Experience with MLOps practices and version control tools like Git to maintain CI / CD pipelines for efficient model deployment and managementBachelor s / Master s Degree in Engineering,Computer Science,or related fields. . Interest in core programming principles and an understanding of the importance of code structure.",290525024892,"Data Science,Data Structures,Numpy,Python,Pandas,SQL,Data,Science"
Python,Python Software Developer-N,Infosys,3-5 Yrs,Not disclosed,"Hyderabad, Pune, Bengaluru",/job-listings-python-software-developer-n-infosys-hyderabad-pune-bengaluru-3-to-5-years-230525027381,"Educational Requirements . MCA,MSc,MTech,Bachelor of Engineering,BCA,BSc,BTechGood understanding of SDLC and agile methodologies",230525027381,"Django,Python,Flask,Software"
Python,Python Software Developer-AB-Pan India,Infosys,3-6 Yrs,Not disclosed,"Kolkata, Chennai, Bengaluru",/job-listings-python-software-developer-ab-pan-india-infosys-kolkata-chennai-bengaluru-3-to-6-years-300525033884,"MCA,MSc,MTech,Bachelor of Engineering,BCA,BSc,BTech .Preferred Skills: Technology->OpenSystem->Python - OpenSystem->Python",300525033884,"Django,Python,Flask,Software"
Python,Python Software Developer-AB-Pan India-Bengaluru,Infosys,3-6 Yrs,4-9 Lacs PA,"Kolkata, Chennai, Bengaluru",/job-listings-python-software-developer-ab-pan-india-bengaluru-infosys-kolkata-chennai-bengaluru-3-to-6-years-300525032989,"MCA,MSc,MTech,Bachelor of Engineering,BCA,BSc,BTechPreferred Skills: Technology->OpenSystem->Python - OpenSystem->Python",300525032989,"Django,Python,Flask,Software"
Python,Python Software Developer,IKS HEALTH,2-5 Yrs,Not disclosed,Remote,/job-listings-python-software-developer-iks-health-mumbai-all-areas-2-to-5-years-310525014478,"Deploy,monitor,and maintain services in cloud environments (preferably AWS,Azure,or GCP)Preferred candidate profile . 2-5 years of backend development experience using PythonProficient in working with SQL and NoSQL databases (e.g.,PostgreSQL,MySQL,MongoDB,Redis)Good working knowledge of React for UI collaboration or development",310525014478,"Python,Rest,Django,Microservices,Flask,Software development,Development,Software"
Python,Python Software Developer - PAN INDIA,Infosys,2-7 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru",/job-listings-python-software-developer-pan-india-infosys-hyderabad-chennai-bengaluru-2-to-7-years-020425008271,Hiring for Python Developer with experience range 2 years & aboveMandatory Skills: PythonEducation: BE/B.Tech/MCA/M.Tech/MSc./MSInterview Mode-F2F,020425008271,"Python Development,Python,Python Framework,Django,Software development,Framework,Pan,Software"
Python,Data engineer - Python ETL Developer,HARMAN,3-5 Yrs,Not disclosed,Bengaluru,/job-listings-data-engineer-python-etl-developer-harman-international-bengaluru-3-to-5-years-300525503704,Data Visualization: Proficient in Excel and data visualization toolsEngineer audio systems and integrated technology platforms that augment the driving experience .,300525503704,"Infotainment,Automation,Data analysis,Image processing,Agile,German,Troubleshooting,Automotive"
Python,Python Software Developer,Xoriant,3-6 Yrs,Not disclosed,Hybrid - Pune,/job-listings-python-software-developer-xoriant-pune-3-to-6-years-220425010711,"Experience with REST API development and integration. Hands-on experience with Splunk (search,dashboards,alerts).",220425010711,"Automation Tools,Restfull Api,Splunk,Python,Windows plugin,Pandas,Flask,Software development"
Python,"Full Stack Python Developer (Cloud, IoT, Blockchain & Agile Expertise)",Synechron,5-10 Yrs,Not disclosed,Pune,/job-listings-full-stack-python-developer-cloud-iot-blockchain-agile-expertise-synechron-technologies-pvt-ltd-pune-5-to-10-years-290525915493,"Qualifications: . Bachelors or Masters degree in Computer Science,Software Engineering,or related fieldRelevant certifications in Python,cloud platforms,or full-stack development (preferred)Essential: Python (proficient),JavaScript (proficient)Preferred: Node.js,TypeScript .Front-end: React,Angular,Vue.js (preferred)Experience Requirements: .",290525915493,"Python,Agile Expertise,Cloud,Blockchain,Full Stack Python Developer,IoT,Stack,Agile"
Python,Python Developer,Enterprise Minds,0-1 Yrs,Not disclosed,Bengaluru,/job-listings-python-developer-enterpriseminds-india-private-limited-bengaluru-0-to-1-years-300525931376,"Bachelor s degree in Computer Science,Engineering,or a related fieldRequired QualificationsPreferred SkillsExperience Level: 3 5 Years. Employment Type: Full-Time. Role OverviewThe ideal candidate will have experience in building and optimizing data pipelines,ensuring efficient data processing and integration. . Key Responsibilities",300525931376,"data manipulation,python development,numpy,sql,pandas,python,microsoft azure,machine learning"
